funding_total_usd,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,target,funding_missing,funding_total_usd_log,founded_at_missing,first_funding_at_missing,last_funding_at_missing,startup_age_days,time_to_first_funding_days,funding_duration_days,main_category,category_count
396998.0,missing,missing,missing,missing,1,2012-04-27,2012-05-01,2012-05-01,1,0,12.891689040774468,0,0,0,1316.0,4.0,0.0,Apps,5
10000000.0,USA,NJ,NJ - Other,Berlin,1,1984-01-01,2009-06-05,2009-06-05,1,0,16.118095750958314,0,0,0,11660.0,9287.0,0.0,E-Commerce,1
255100000.0,USA,CA,Anaheim,Newport Beach,3,1993-01-01,1999-11-22,2012-02-21,1,0,19.35716618703207,0,0,0,8372.0,2516.0,4474.0,Business Services,3
5800000.0,USA,CA,SF Bay Area,San Francisco,1,2008-01-01,2008-10-01,2008-10-01,1,1,15.573368647930426,0,0,0,2894.0,274.0,0.0,EdTech,3
27000000.0,missing,missing,missing,missing,1,,2002-10-11,2002-10-11,0,0,17.11134746100564,1,0,0,3259.0,548.0,0.0,Events,3
2000000.0,USA,CA,Los Angeles,Westlake Village,1,2004-01-01,2004-08-01,2004-08-01,1,0,14.508658238524095,0,0,0,4355.0,213.0,0.0,Education,1
126385000.0,USA,CA,San Diego,San Diego,3,,2003-03-31,2013-01-02,1,0,18.65484336966134,1,0,0,3259.0,548.0,3565.0,Biotechnology,2
5800000.0,missing,missing,missing,missing,1,,2003-06-16,2003-06-16,0,1,15.573368647930426,1,0,0,3259.0,548.0,0.0,missing,0
5800000.0,missing,missing,missing,missing,1,2015-01-01,2015-01-01,2015-01-01,0,1,15.573368647930426,0,0,0,337.0,0.0,0.0,missing,0
13500000.0,USA,WA,Seattle,Bellevue,2,,2007-07-03,2007-12-11,1,0,16.41820031748273,1,0,0,3259.0,548.0,161.0,Health Care,3
